fu3Column	fu2Column	Instrument	fu3Core
id	User.code	ALL	ALL
ipaddr	DELETE	ALL	ALL
datestamp	Completed.Timestamp	ALL	ALL
submitdate	Completed	ALL	ALL
startlanguage	Language	ALL	ALL
IdCheckGender	id_check_gender	ALL	ALL
IdCheckDob	id_check_dob	ALL	ALL
TS1	ts_1	ALL	ALL
TS1.other.	ts_1_specify	ALL	ALL
TS2	ts_2	ALL	ALL
TS2FB	DELETE	ALL	ALL
TS3	ts_3	ALL	ALL
TS4	ts_4	ALL	ALL
TS4FB	DELETE	ALL	ALL
audit1	audit1	IMGN_AUDIT	1
audit2	audit2	IMGN_AUDIT	1
audit3	audit3	IMGN_AUDIT	1
audit4	audit4	IMGN_AUDIT	1
audit5	audit5	IMGN_AUDIT	1
audit6	audit6	IMGN_AUDIT	1
audit7	audit7	IMGN_AUDIT	1
audit8	audit8	IMGN_AUDIT	1
audit9	audit9	IMGN_AUDIT	1
audit10	audit10	IMGN_AUDIT	1
EspadCurrStatus.other.	curr_status_specify	IMGN_ESPAD	1
EspadCurrStatus.AllThatApply	curr_status	IMGN_ESPAD	1
Espad4LastYear.a.	4a_last_year	IMGN_ESPAD	1
Espad4LastYear.b.	4b_last_year	IMGN_ESPAD	1
Espad4LastYear.c.	4c_last_year	IMGN_ESPAD	1
Espad4.a.	4a	IMGN_ESPAD	1
Espad4.b.	4b	IMGN_ESPAD	1
Espad4.c.	4c	IMGN_ESPAD	1
EspadEducationEnd	education_end	IMGN_ESPAD	1
Espad5	5	IMGN_ESPAD	1
Espad6Ecig	6_ecig	IMGN_ESPAD	1
Espad29eEcig	29e_ecig	IMGN_ESPAD	1
Espad29fEcig	29f_ecig	IMGN_ESPAD	1
Espad7Ecig	7_ecig	IMGN_ESPAD	1
Espad6	6	IMGN_ESPAD	1
Espad29e	29e	IMGN_ESPAD	1
Espad29f	29f	IMGN_ESPAD	1
Espad7	7	IMGN_ESPAD	1
Espad7cigCheck	7_check	IMGN_ESPAD	1
EspadFtnd1	ftnd1	IMGN_ESPAD	1
EspadFtnd2	ftnd2	IMGN_ESPAD	1
EspadFtnd3	ftnd3	IMGN_ESPAD	1
EspadFtnd4	ftnd4	IMGN_ESPAD	1
EspadFtnd5	ftnd5	IMGN_ESPAD	1
EspadFtnd6	ftnd6	IMGN_ESPAD	1
Espad8a	8a	IMGN_ESPAD	1
Espad8b	8b	IMGN_ESPAD	1
Espad8c	8c	IMGN_ESPAD	1
Espad9a	9a	IMGN_ESPAD	1
Espad29beer	29beer	IMGN_ESPAD	1
Espad9b	9b	IMGN_ESPAD	1
Espad29wine	29wine	IMGN_ESPAD	1
Espad9c	9c	IMGN_ESPAD	1
Espad29alcopop	29alcopop	IMGN_ESPAD	1
Espad9d	9d	IMGN_ESPAD	1
Espad29spirits	29spirits	IMGN_ESPAD	1
Espad17a	17a	IMGN_ESPAD	1
Espad17b	17b	IMGN_ESPAD	1
Espad17c	17c	IMGN_ESPAD	1
EspadPrev31	prev31	IMGN_ESPAD	1
Espad18.a.	18a	IMGN_ESPAD	1
Espad18.b.	18b	IMGN_ESPAD	1
Espad18.c.	18c	IMGN_ESPAD	1
Espad18.d.	18d	IMGN_ESPAD	1
Espad18.e.	18e	IMGN_ESPAD	1
Espad18.f.	18f	IMGN_ESPAD	1
Espad18.g.	18g	IMGN_ESPAD	1
Espad18.h.	18h	IMGN_ESPAD	1
Espad18.i.	18i	IMGN_ESPAD	1
Espad18.j.	18j	IMGN_ESPAD	1
Espad18.k.	18k	IMGN_ESPAD	1
EspadAuditAgreement	EspadAuditAgreement	IMGN_ESPAD	1
Espad19a	19a	IMGN_ESPAD	1
Espad19b	19b	IMGN_ESPAD	1
Espad19c	19c	IMGN_ESPAD	1
